policy_name,n_patients_completed,throughput_per_hour,avg_wait_time_min,std_wait_time_min,p50_wait_time_min,p95_wait_time_min,p99_wait_time_min,avg_emergency_tat_min,p95_emergency_tat_min,avg_total_tat_min,ct_utilization,mri_utilization,xray_utilization,avg_scanner_utilization,radiologist_workload_std,radiologist_workload_gini,avg_queue_length,max_queue_length,sim_duration_min
fifo,106,13.28125,57.443157079307056,60.83000212398357,29.389478985781913,190.1541012024612,226.3383695882189,103.21733148757187,226.5020879434012,103.44000009837679,0.4164530061775966,0.4614849458564869,0.21928973834757565,0.33883198484845184,1.3360572055897837,0.047457441089103436,13.138157894736842,29.625,480.0
priority,104,13.078125,39.41279433359304,47.17710715262974,23.649272121154485,135.2550335738074,232.4713845954377,78.08916696525338,139.3246372849652,83.74538409318095,0.4145186782331244,0.45542591187824066,0.2191807155644014,0.3367923023014956,1.1151983309322118,0.037598198544519956,12.50921052631579,29.25,480.0
ppo,104,13.078125,39.53949934235122,47.22931019403201,23.664218699152197,135.2550335738074,232.4713845954377,78.08916696525338,139.3246372849652,83.87208910193914,0.4145186782331244,0.45542591187824066,0.2191807155644014,0.3367923023014956,1.1151983309322118,0.037598198544519956,12.50921052631579,29.25,480.0
